0,1,2,3,4
"Census Tract 5180.01, Allegheny County, Pennsylvania",3294,42,003,518001
"Census Tract 5190, Allegheny County, Pennsylvania",2990,42,003,519000
"Census Tract 5200.01, Allegheny County, Pennsylvania",3131,42,003,520001
"Census Tract 5200.02, Allegheny County, Pennsylvania",3180,42,003,520002
"Census Tract 5211, Allegheny County, Pennsylvania",4548,42,003,521100
"Census Tract 5212, Allegheny County, Pennsylvania",4317,42,003,521200
"Census Tract 5213.01, Allegheny County, Pennsylvania",4258,42,003,521301
"Census Tract 5213.02, Allegheny County, Pennsylvania",4394,42,003,521302
"Census Tract 5214.01, Allegheny County, Pennsylvania",2773,42,003,521401
"Census Tract 5214.02, Allegheny County, Pennsylvania",3828,42,003,521402
"Census Tract 5215, Allegheny County, Pennsylvania",4213,42,003,521500
"Census Tract 5220, Allegheny County, Pennsylvania",3259,42,003,522000
"Census Tract 5231, Allegheny County, Pennsylvania",3793,42,003,523100
"Census Tract 5232, Allegheny County, Pennsylvania",4091,42,003,523200
"Census Tract 5233, Allegheny County, Pennsylvania",4074,42,003,523300
"Census Tract 5234, Allegheny County, Pennsylvania",4846,42,003,523400
"Census Tract 5235.01, Allegheny County, Pennsylvania",4733,42,003,523501
"Census Tract 5235.02, Allegheny County, Pennsylvania",1479,42,003,523502
"Census Tract 5236, Allegheny County, Pennsylvania",4879,42,003,523600
"Census Tract 5237.01, Allegheny County, Pennsylvania",4195,42,003,523701
"Census Tract 5237.02, Allegheny County, Pennsylvania",5123,42,003,523702
"Census Tract 5238, Allegheny County, Pennsylvania",4860,42,003,523800
"Census Tract 5240, Allegheny County, Pennsylvania",2590,42,003,524000
"Census Tract 5251, Allegheny County, Pennsylvania",1972,42,003,525100
"Census Tract 5252, Allegheny County, Pennsylvania",2254,42,003,525200
"Census Tract 5253, Allegheny County, Pennsylvania",2194,42,003,525300
"Census Tract 5261.01, Allegheny County, Pennsylvania",7063,42,003,526101
"Census Tract 5261.02, Allegheny County, Pennsylvania",2159,42,003,526102
"Census Tract 5262.01, Allegheny County, Pennsylvania",3719,42,003,526201
"Census Tract 5262.02, Allegheny County, Pennsylvania",4676,42,003,526202
"Census Tract 5263.01, Allegheny County, Pennsylvania",4525,42,003,526301
"Census Tract 5263.02, Allegheny County, Pennsylvania",5332,42,003,526302
"Census Tract 5509, Allegheny County, Pennsylvania",1725,42,003,550900
"Census Tract 5512, Allegheny County, Pennsylvania",3597,42,003,551200
"Census Tract 5513, Allegheny County, Pennsylvania",2638,42,003,551300
"Census Tract 5519, Allegheny County, Pennsylvania",1622,42,003,551900
"Census Tract 5520, Allegheny County, Pennsylvania",2602,42,003,552000
"Census Tract 5521, Allegheny County, Pennsylvania",1490,42,003,552100
"Census Tract 5522, Allegheny County, Pennsylvania",846,42,003,552200
"Census Tract 5523, Allegheny County, Pennsylvania",2205,42,003,552300
"Census Tract 5524, Allegheny County, Pennsylvania",2804,42,003,552400
"Census Tract 5604, Allegheny County, Pennsylvania",1737,42,003,560400
"Census Tract 5605, Allegheny County, Pennsylvania",2353,42,003,560500
"Census Tract 5606, Allegheny County, Pennsylvania",1005,42,003,560600
"Census Tract 5610, Allegheny County, Pennsylvania",1424,42,003,561000
"Census Tract 5611, Allegheny County, Pennsylvania",867,42,003,561100
"Census Tract 5612, Allegheny County, Pennsylvania",1329,42,003,561200
"Census Tract 5614, Allegheny County, Pennsylvania",4171,42,003,561400
