"","NAME","state","county","tract","B05004_001E"
"320","Census Tract 5200.01, Allegheny County, Pennsylvania","42","003","520001",51
"321","Census Tract 5200.02, Allegheny County, Pennsylvania","42","003","520002",39.3
"322","Census Tract 5211, Allegheny County, Pennsylvania","42","003","521100",42.6
"323","Census Tract 5212, Allegheny County, Pennsylvania","42","003","521200",37.9
"324","Census Tract 5213.01, Allegheny County, Pennsylvania","42","003","521301",44.2
"325","Census Tract 5213.02, Allegheny County, Pennsylvania","42","003","521302",41.8
"326","Census Tract 5214.01, Allegheny County, Pennsylvania","42","003","521401",49.4
"327","Census Tract 5214.02, Allegheny County, Pennsylvania","42","003","521402",49.2
"328","Census Tract 5215, Allegheny County, Pennsylvania","42","003","521500",48.8
"329","Census Tract 5220, Allegheny County, Pennsylvania","42","003","522000",37.6
"330","Census Tract 5231, Allegheny County, Pennsylvania","42","003","523100",46.6
"331","Census Tract 5232, Allegheny County, Pennsylvania","42","003","523200",35.8
"332","Census Tract 5233, Allegheny County, Pennsylvania","42","003","523300",45.2
"333","Census Tract 5234, Allegheny County, Pennsylvania","42","003","523400",43.9
"334","Census Tract 5235.01, Allegheny County, Pennsylvania","42","003","523501",44.6
"335","Census Tract 5235.02, Allegheny County, Pennsylvania","42","003","523502",43.8
"336","Census Tract 5236, Allegheny County, Pennsylvania","42","003","523600",47.8
"337","Census Tract 5237.01, Allegheny County, Pennsylvania","42","003","523701",47.1
"338","Census Tract 5237.02, Allegheny County, Pennsylvania","42","003","523702",44.6
"339","Census Tract 5238, Allegheny County, Pennsylvania","42","003","523800",50.7
"340","Census Tract 5240, Allegheny County, Pennsylvania","42","003","524000",41.7
"341","Census Tract 5251, Allegheny County, Pennsylvania","42","003","525100",49.1
"342","Census Tract 5252, Allegheny County, Pennsylvania","42","003","525200",50.4
"343","Census Tract 5253, Allegheny County, Pennsylvania","42","003","525300",46
"344","Census Tract 5261.01, Allegheny County, Pennsylvania","42","003","526101",48.8
