NAME,total_pop,male_pop,female_pop,median_age,median_income,state,county,tract,male_percent,female_percent,mean_travel_time,total_commute,car_truck_van,car_truck_van_alone,car_truck_van_carpooled,public_transport,walked,bycicle
"Census Tract 4013, Allegheny County, Pennsylvania",2822,1340,1482,45.7,65175,42,3,401300,0.474840539,0.525159461,27.4,1383,95.4,86.8,8.7,0.7,2,0
"Census Tract 4020, Allegheny County, Pennsylvania",3220,1573,1647,38.5,40753,42,3,402000,0.488509317,0.511490683,24.6,1412,92.2,83.9,8.4,2.3,1.1,0
"Census Tract 4035, Allegheny County, Pennsylvania",4481,2249,2232,36.6,33026,42,3,403500,0.501896898,0.498103102,29,2000,80.4,67.3,13.1,12.3,3.5,0
"Census Tract 4040, Allegheny County, Pennsylvania",1407,794,613,41,48158,42,3,404000,0.564321251,0.435678749,23.8,797,89,79.5,9.4,5.3,2.3,0
"Census Tract 4050, Allegheny County, Pennsylvania",1084,556,528,49.1,56058,42,3,405000,0.512915129,0.487084871,24.2,550,98.7,89.6,9.1,0.5,0,0
"Census Tract 4060, Allegheny County, Pennsylvania",2366,1127,1239,50.9,59112,42,3,406000,0.476331361,0.523668639,28.5,1081,92,84.5,7.6,2.6,0,0
"Census Tract 4070.01, Allegheny County, Pennsylvania",5098,2446,2652,44.5,53445,42,3,407001,0.479795998,0.520204002,35.3,2498,93,88,5,1.4,1.2,0
"Census Tract 4070.02, Allegheny County, Pennsylvania",6802,3408,3394,44.7,67104,42,3,407002,0.501029109,0.498970891,30.6,3514,90.6,84.8,5.8,0.5,0,0
"Census Tract 4080.01, Allegheny County, Pennsylvania",5301,2699,2602,44.1,77684,42,3,408001,0.509149217,0.490850783,27.3,2391,92.3,84.6,7.7,1.7,0,0
"Census Tract 4080.02, Allegheny County, Pennsylvania",6188,2885,3303,41.8,98074,42,3,408002,0.466224952,0.533775048,29.2,3207,94.3,88.2,6,0,0,0
